gap_id,priority,admin1,event_date,missing_information,known_bounds_or_state,why_not_filled,recommended_next_source,analysis_handling
GAP_SUMY_20240829_END,high,Sumy Oblast,2024-08-29,Initial q1 GAV start and final GAV cancellation minute,q2 added exactly at 15:33; GAV known active with GPV,Official archive recovered only partial transition chain.,Sumyoblenergo Telegram Desktop export / operator dispatch log,Keep event open; do not infer full interval.
GAP_SUMY_20241019_END,high,Sumy Oblast,2024-10-19,Final GAV cancellation,08:57 q1-5; 10:57 rotate to q6-10; later rotations observed,No explicit final cancellation body-time recovered.,Sumyoblenergo export / OVA archive,Use transition events only; no synthetic end.
GAP_SUMY_20241022_END,high,Sumy Oblast,2024-10-22,Final cancellation of the SECOND 18:57 GAV wave,Morning GAV is now closed: q5-6 added 07:38; q7-10 added 08:51; all morning GAV cancelled/consumers reconnected at 16:00; a new q1/q2 GAV wave starts 18:57.,No reliable cancellation minute for the later 18:57 second-wave GAV has been recovered.,Sumyoblenergo export,Treat 07:38→16:00 and 18:57→unknown as separate GAV episodes; never merge them.
GAP_SUMY_20241228_CANCEL,medium,Sumy Oblast,2024-12-28,Exact GAV cancellation action,Official applied window 15:00–18:00; rotation at 17:00,"18:00 is the prescribed window endpoint, not independently confirmed last switching minute.",Exact Sumyoblenergo message after 18:00 / operation journal,Treat 18:00 as planned/official endpoint only.
GAP_KH_20240829_RESTORE,high,Kharkiv Oblast,2024-08-29,Full physical restoration time,07:17 report: parts of city off; crews restoring,No completion timestamp recovered.,Kharkivoblenergo incident log / city restoration updates,Do not create outage_end.
GAP_KH_20240830_START_END,high,Kharkiv Oblast,2024-08-30,Exact GAV start and cancellation,Not active at 09:18; active by 11:06,Only interval-censored start is defensible; no exact cancellation recovered.,Kharkivoblenergo dispatcher log / archived Telegram exact messages,"Use (09:18,11:06] start interval; leave end unknown."
GAP_KH_20250115_START,medium,Kharkiv Oblast,2025-01-15,Exact local GAV activation,Active by 08:09; national cancellation at 09:00,Only TSO/local report state-time available.,Kharkivoblenergo operational message archive,Use reported_at + cancel_by.
GAP_DN_20241228_END,high,Dnipropetrovsk Oblast,2024-12-28,Exact start command and cancellation,Emergency active in Kamianske by 15:21,"DTEK report gives state, not command/end.",DTEK Dnipro Grids Telegram/export or city dispatch log,Do not convert to a closed interval.
GAP_DN_20250115_START,medium,Dnipropetrovsk Oblast,2025-01-15,Exact DSO start,Region included in GAV; all regions cancelled at 09:00,No exact DSO start recovered.,DTEK Dnipro Grids archive,Use state observation + national cancel upper bound.
GAP_OD_20241117_LAST_RESTORE,critical,Odesa Oblast,2024-11-17—2024-11-20,Last household/feeder restoration time,321k clients still off on 18 Nov; operational regime returns to stabilization at 06:00 20 Nov,Operational-regime closure is not physical full restoration.,"DTEK outage-management/SCADA logs, feeder restoration reports","Model as recovery episode, not one blackout interval."
GAP_OD_20241213_EFFECTIVE_START,high,Odesa Oblast,2024-12-13,Exact emergency command/switching start,Emergency reported at 12:41; stabilization restored by 09:04 next morning,Report time is not exact command time.,DTEK exact post / dispatch log,Use reported_at start + cancelled_by end.
GAP_OD_20241225_ACTUAL_SWITCHES,high,Odesa Oblast,2024-12-25,Actual per-subqueue physical switching under five same-day schedule versions,"Versions published 06:13, 07:13, 09:20, 11:59, 15:25",Version publication does not establish that every planned segment was physically executed.,DTEK SCADA/operation journal or address-level outage telemetry,Use latest applicable version for planned exposure; keep version chain.
GAP_TARGET_OBLAST_OPERATOR_LOGS,critical,Sumy|Odesa|Kharkiv|Dnipropetrovsk,2024-06—2025-01,Operator journal / telemetry ground truth,NERC audit of Rivne proves plan-vs-actual mismatches occur,Equivalent public regulator inspection annexes for the four target oblasts were not yet recovered.,"NERC inspection reports, DSO operational journals, telemetry/SCADA",Treat public DSO execution posts as high-quality but below telemetry.
GAP_DN_20240829_PRIMARY_TIMING,high,Dnipropetrovsk Oblast,2024-08-29—2024-08-30,Primary-source exact activation and cancellation command for the 29-Aug DTEK emergency wave,DTEK official group channel confirms emergency active at 11:56 on 29 Aug; a dated local DTEK recap says it was cancelled at 03:00 on 30 Aug.,"The 03:00 endpoint is currently secondary evidence and the 11:56 post is a state confirmation, not guaranteed effective time.",DTEK Dnipro Grids Telegram Desktop export / dispatcher log / SCADA journal,Use 11:56 as reported_at; keep 03:00 as non-publication secondary endpoint until primary confirmation.
GAP_DN_20240830_END,high,Dnipropetrovsk Oblast,2024-08-30,Exact cancellation / return-to-GPV minute for the new morning emergency wave,Emergency active by 10:35 in DTEK territory; CEK also reported as applying emergency schedules.,No reliable same-day cancellation message recovered in the current archive search.,DTEK Dnipro Grids + PEEM CEK archived posts / dispatcher logs,Open-ended state observation; do not synthesize an end from the national GPV schedule.
GAP_OD_20240830_END,high,Odesa Oblast,2024-08-30,Exact cancellation / return-to-stabilization minute after morning emergency override,DTEK emergency state confirmed by 10:35; normal schedules explicitly not operating.,No primary cancellation post with a defensible minute recovered.,DTEK Odesa Grids archived Telegram/Facebook post or outage-management log,Use reported_at start and leave emergency state open until a cancellation bound is recovered.
