rule_id,effective_date,rule_type,scope,rule_name,description,modeling_implication,confidence,source_authority,source_url,source_note
MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK,2024-06-08,dispatch_semantics,national,National queue_count becomes a meaningful Ukrenergo dispatch-intensity variable,"Before roughly 8 June 2024, much of the recoverable evidence is regional consumption limits rather than a uniform national number of GPV queues. From 8 June onward the queue-count dispatch framework becomes directly usable.",Do not backfill queue_count for 1–7 June. Blank queue_count is preferable to inferred q1/q2.,high,Ukrenergo/DSO historical evidence,https://t.me/s/ukrenergo,Semantic breakpoint already used in v2.2/v2.3 audits.
MR20241203_GPV_INSTRUCTION_439,2024-12-03,regulatory_change,national,Ministry of Energy Order No.439 / new GPV instruction effective,"The updated instruction formalized six equal queues, each split into two equal subqueues, and 30-minute load-block construction.",Post-change queue identifiers may be 1.1–6.2; older six-queue-only schema is insufficient.,high,official_dso_explaining_ministry_order,https://t.me/s/prykarpattyaoblenergo_official?before=2217,Official DSO states Ministry order dated 27 Nov 2024 No.439 entered into force 3 Dec 2024.
MR20241216_12_SUBQUEUE_OPERATIONAL_ROLLOUT,2024-12-16,operational_rollout,national,12-subqueue GPV operational rollout,Each of the six GPV queues is operationally split into two subqueues. Schedules are constructed in 30-minute slots; commands can use half-queue increments such as 0.5 or 2.5 queues.,"After 16 Dec, queue_count can legitimately take 0.5 increments and queue_id should support subqueues such as 2.1/2.2.",high,official DSO + energy supplier,https://t.me/s/prykarpattyaoblenergo_official?after=2232,Operational rollout visibly applied from 16 Dec across regions.
MR20241216_SWITCHING_TOLERANCE,2024-12-16,timing_tolerance,national,Physical switching may lag nominal GPV boundary by up to ~30 minutes,Operators explicitly warn that disconnect/reconnect operations can differ from the published GPV time by roughly 20–30 minutes because simultaneous switching is impossible and network topology requires sequential operations.,"Do not treat a planned boundary such as 12:00 as a guaranteed physical outage instant. For minute-level causal work, widen planned GPV boundaries or prefer execution/telemetry evidence.",high,DSO operating guidance,https://www.volynpost.com/news/247462-de-i-koly-na-volyni-vidklyuchatymut-svitlo-26-grudnia,DTEK Dnipro documentation independently states start/end can shift up to 30 minutes.
MR20250108_DYNAMIC_ADDRESS_QUEUE_MAPPING,2025-01-08,address_mapping,Sumy Oblast / conceptually DSO-local,Address-to-queue mapping can be multi-valued and state-dependent,"ENERA Sumy explains bills may show entries like 2.1;4.1: the main queue can change depending on possible emergency conditions, while the subqueue remains specified.",Do not assume one address has an immutable queue_id. Address-level joins require a timestamped/versioned mapping.,high,official_energy_supplier,https://sm.enera.ua/home/article/show/274,Direct dated 8 Jan 2025 explanation.
MR20241210_REGULATOR_ACTUAL_VS_PLAN,2024-12-10,evidence_hierarchy,national methodological evidence,Regulator audit proves published/commanded GPV can diverge from actual switching,"NERC inspection of Rivneoblenergo operational journals, phone recordings and telemetry found 26 cases across 11 days where queues/feeders beyond the planned/commanded set were disconnected; estimated excess disconnected load ranged 1.5–51.9 MW.",Highest-quality actual-outage ground truth is operator journal/telemetry. DSO public posts are stronger than plans but still not equivalent to telemetry.,high,NERC official inspection,https://www.nerc.gov.ua/storage/app/sites/1/Docs/Postanova_obgruntuvannya/2024/gruden/10.12.2024/p28_10-12-2024.pdf,"Rivne is methodological evidence, not a target-oblast execution record."
MR_DN_MULTI_DSO_SCOPE,2024-06-01,operator_scope,Dnipropetrovsk Oblast,Dnipropetrovsk Admin1 contains multiple DSO execution domains,Dnipropetrovsk outage evidence must distinguish at least DTEK Dnipro Grids and PEEM CEK. The two operators publish separate schedule/execution information and one operator's action cannot be assumed to cover the whole oblast.,"Add operator/service-area to treatment keys. Never propagate a DTEK emergency state to CEK territory, or vice versa, without corroborating oblast-wide Ukrenergo/DSO evidence.",high,official_dso_cross-check,https://t.me/s/cek_info?before=2377,PEEM CEK official channel explicitly exists for its consumers; cross-check with DTEK Dnipro Grids evidence.
MR20260904_OBLAST_EXECUTION_OVERLAY,2024-06-01,analysis_pipeline,Experiment A / regional calibration,Regional execution overrides must be applied before cycle labeling,"The repository loads an oblast execution registry but the inspected Events.schedule_cycles path labels planned-outage cycles from the national planned schedule's event_id and queue_count. Therefore cancellation, emergency override and early/partial restoration evidence can remain audit-only unless explicitly overlaid.","Construct an effective_outage_state keyed by time × admin1 × operator. Precedence: verified execution action/physical state > final operator schedule > national dispatch. reported_at observations create censored bounds, not exact effective times.",high,repository_code_audit,https://github.com/162645/Ukraine/blob/main/src/uresil/events.py,"Code audit of Config.load_oblast_execution_registry, Events.__init__, Events.schedule_cycles and Experiment A call path."
MR20260904_PUBLIC_TIMESTAMP_SEMANTICS,2024-06-01,source_timestamp_semantics,all web/Telegram/public-message evidence,Publication/index timestamps are not execution timestamps unless the body explicitly says so,Public web and Telegram mirrors can expose publication/edit/index timestamps whose timezone and operational semantics are not guaranteed. A timestamp shown next to a post must not be copied into effective_time merely because it is minute-resolved.,Priority: explicit action time in message body > independently corroborated operator action time > reported_at/cancelled_by publication bound. Never infer a physical switching minute by applying a guessed +2/+3 timezone conversion to a mirror timestamp.,high,multi-source timestamp reconciliation,https://www.pravda.com.ua/news/2024/11/21/7485571/,Introduced after cross-checking DTEK/Sumy Telegram mirrors against dated local and national reporting.
MR20240917_SUMY_MULTI_EPISODE_SPLIT,2024-09-17,event_segmentation,Sumy 17–18 Sep event family,Separate 17-Sep recovery states from 18-Sep new attacks,"On 17 Sep partial physical restoration is exact at 02:26 and 03:11, while 281,072 customers remain off at 07:00. On 18 Sep new attacks again hit energy/critical infrastructure and create new outages, including a 22:03 critical-infrastructure de-energization.",Do not use one continuous outage_start/outage_end interval from 17 Sep through 18 Sep. Build at least two attack episodes and keep recovery transitions between them.,high,Sumyoblenergo/OVA + Suspilne + municipal utility,https://t.me/s/Sumy_news_ODA?before=29876,Directly affects the repository's current coarse 04:00 UTC Sumy anchor semantics.
MR20260904_STATE_MACHINE_REENTRY,2024-06-01,state_machine,regional execution labeling,A day/recovery episode may contain multiple emergency activations separated by normal or GPV states,"Examples: Sumy 22 Oct has morning GAV, exact 16:00 return to GPV, then a new 18:57 GAV; the post-17-Nov recovery is interrupted by a new 21-Nov emergency episode.","Use ordered state transitions rather than one open interval per date. An explicit cancel/return transition closes only that episode, not every later emergency action on the same date.",high,multi-source DSO execution audit,https://t.me/s/SumyEnergo?before=1505,Prevents same-day/multi-day episode collapse.
MR20240724_REGIONAL_ZERO_WINDOW,2024-07-24,regional_dispatch_semantics,24-Jul planned-outage calibration,"24-Jul q0 is region-specific and starts mid-morning, not at 00:00 nationwide",Ukrenergo cancelled outages 09:30–16:00 for Sumy/Kharkiv/Dnipropetrovsk and other regions; Odesa DSO states 08:25–18:00 while the broad Ukrenergo group states 08:20–18:00.,Exclude the old 00:00–16:00 national q0 row. Use region/operator-specific cancellation windows and preserve the Odesa five-minute source discrepancy.,high,Ukrenergo + Sumyoblenergo + Kharkivoblenergo + DTEK Odesa,https://suspilne.media/797383-24-lipna-grafiki-vidklucen-svitla-skasovani-do-1600-dtek/,Critical correction for scheduled-outage validation/falsification.
