event_id,event_date,event_class,significance,event_name,event_scale,affected_admin1,affected_consumer_class,direct_power_effect,quantitative_impact,event_start_local,event_end_local,time_precision,confound_scope,analysis_relevance,confidence,source_authority,source_url,source_note,explanation_zh,event_class_norm,time_confidence,source_origin,source_channel,source_grade,evidence_rank,schema_version
KE20240601_MAJOR_ATTACK,2024-06-01,mass_energy_attack,critical,第6轮大规模能源系统攻击（研究窗口内第1次）,multi_oblast_system,Donetsk Oblast|Zaporizhzhia Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Ivano-Frankivsk Oblast,ALL,generation_and_grid_damage,Energy facilities damaged in five oblasts; two DTEK thermal power plants seriously damaged; two hydro facilities critically damaged.,,,overnight/date-level,national_system,Major attack materially changed system capacity; same-day planned-outage rows should not be treated as clean scheduled-outage exposure.,high,UN_OHCHR + Reuters-syndicated,https://ukraine.un.org/en/278992-attacks-ukraine%E2%80%99s-energy-infrastructure-harm-civilian-population,OHCHR identifies 1 June as one of the four major energy-attack waves from Jun-Aug 2024; Reuters/official reporting identifies five directly hit energy regions.,Major attack materially changed system capacity; same-day planned-outage rows should not be treated as clean scheduled-outage exposure.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20240620_MAJOR_ATTACK,2024-06-20,mass_energy_attack,critical,第7轮大规模能源系统攻击,multi_oblast_system,Vinnytsia Oblast|Dnipropetrovsk Oblast|Donetsk Oblast|Kyiv Oblast,ALL,physical_outage_and_generation_damage,"More than 218,000 consumers lost power; significant damage at a thermal power plant; seven energy workers injured.",,,early-morning/date-level,national_system,"The whole day's restriction regime is attack-confounded, not just the later hours.",high,Reuters + Ukrenergo,https://www.reuters.com/world/europe/russian-air-attack-damages-ukraines-energy-infrastructure-2024-06-20/,Ukrenergo reported damaged energy equipment in four oblasts.,"The whole day's restriction regime is attack-confounded, not just the later hours.【置信度：high】",attack,coarse,TSO,other,secondary,3,v3.0
KE20240622_MAJOR_ATTACK,2024-06-22,mass_energy_attack,critical,第8轮大规模能源系统攻击,multi_oblast_system,Zaporizhzhia Oblast|Lviv Oblast,ALL,transmission_damage,Ukrenergo facilities damaged in Zaporizhzhia and Lviv; two energy workers injured; record imports were required.,,,overnight/date-level,national_system,Scheduled outage exposure on 22 June is materially confounded by new transmission damage.,high,Reuters + UN_OHCHR,https://www.swissinfo.ch/eng/russian-strikes-damage-ukrainian-power-facilities%2C-two-workers-hurt/81435177,OHCHR's major-wave chronology explicitly includes 22 June.,Scheduled outage exposure on 22 June is materially confounded by new transmission damage.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20240706_SUMY_ATTACK,2024-07-06,regional_energy_attack,high,Sumy能源设施遭无人机攻击并触发工业用户紧急停电,city_oblast,Sumy Oblast,industry_business,emergency_outage,Emergency electricity shut-offs imposed on industrial consumers in Sumy city after an energy facility was damaged.,,,overnight/date-level,regional,National planned household queue intensity can coexist with a separate local emergency industrial outage.,high,Reuters + Ukrenergo,https://www.reuters.com/world/europe/russian-drone-attack-ukraine-hits-energy-facility-sumy-region-2024-07-06/,Do not convert this event into a nationwide emergency-outage label.,National planned household queue intensity can coexist with a separate local emergency industrial outage.【置信度：high】,attack,coarse,TSO,other,secondary,3,v3.0
KE20240716_EQUIPMENT_FAILURE,2024-07-16,system_equipment_failure,critical,能源设施设备故障导致全国限制升级并在7州启用紧急停电,national_system,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Zaporizhzhia Oblast|Donetsk Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast,ALL,queue_escalation_and_emergency_outage,Equipment failure increased the system deficit; four outage queues were used throughout the day; emergency outages ordered in seven oblasts at 10:00.,2024-07-16 10:00:00+03:00,,start-minute/end-unknown,national_system,This is not a clean demand-driven scheduled-outage day; it is a technical-failure shock.,high,Ukrenergo,https://t.me/s/Ukrenergo?before=3073,Exact emergency-outage end times differ by oblast and were not forced into this registry.,This is not a clean demand-driven scheduled-outage day; it is a technical-failure shock.【置信度：high】,system_failure_or_repair,mixed_or_unknown,TSO,other,secondary,3,v3.0
KE20240813_NORTH_ATTACK,2024-08-13,regional_energy_attack,medium,Sumy/Chernihiv北部能源与基础设施袭击,regional,Sumy Oblast|Chernihiv Oblast,ALL,temporary_local_outage,Power and gas infrastructure were damaged in Sumy; Ukrenergo reported energy-infrastructure attacks and restoration to affected areas.,,,overnight/date-level,regional,"National q0 remains valid as a schedule statement, but affected northern regions are not clean physical-power controls.",high,Reuters,https://www.reuters.com/world/europe/russia-injures-one-damages-civilian-infrastructure-during-overnight-attack-2024-08-13/,Use affected_admin1 rather than excluding the whole country.,"National q0 remains valid as a schedule statement, but affected northern regions are not clean physical-power controls.【置信度：high】",attack,coarse,other,other,secondary,3,v3.0
KE20240826_MAJOR_ATTACK,2024-08-26,mass_energy_attack,critical,第9轮大规模能源系统攻击,national_system,15 regions + Kyiv City (UN-verified broad impact),ALL,nationwide_unscheduled_blackout,More than 200 missiles/drones; around 8 million households lost power without warning; Kyiv had its first unscheduled blackout since Nov 2022.,,,morning/date-level,national_system,Defines a major post-attack recovery regime; must not be represented as one continuous outage through 6 September.,high,IEA + UN_OHCHR,https://www.iea.org/reports/ukraines-energy-security-and-the-coming-winter/ukraines-energy-system-under-attack,"Use as attack/recovery episode anchor, not a continuous actual-outage interval.",Defines a major post-attack recovery regime; must not be represented as one continuous outage through 6 September.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20240904_NPP_DERATE,2024-09-04,generation_derating,high,南乌克兰核电站机组因输电设施受袭降功率,national_system,Mykolaiv Oblast / national grid,ALL,generation_reduction,One South Ukraine NPP unit reduced output by 33% after attacks damaged transmission infrastructure and destabilized grid parameters.,,,date-level,national_system,Important generation-side shock during the post-26-Aug recovery period.,high,Reuters + Energoatom,https://www.reuters.com/world/europe/ukraine-cuts-output-nuclear-plant-after-russian-attacks-2024-09-04/,Not itself an outage schedule; use as system-capacity confounder.,Important generation-side shock during the post-26-Aug recovery period.【置信度：high】,generation_constraint,coarse,other,other,secondary,3,v3.0
KE20240912_KONOTOP_ATTACK,2024-09-12,regional_energy_attack,high,Konotop能源基础设施重创、城市断电,city,Sumy Oblast,ALL,city_blackout,Konotop lost electricity after significant energy-infrastructure damage; critical supply to hospital/water systems relied on emergency restoration; at least 14 injured.,,,overnight/date-level,local,The Sumy row in the same-day 13:00–23:00 q1 schedule is additionally attack-confounded; do not interpret q1 as the only cause of power loss in Konotop.,high,Reuters,https://www.reuters.com/world/europe/russian-drones-pound-power-system-sumy-region-town-14-people-hurt-ukraine-says-2024-09-12/,Keep separate from the weather/thermal-generation reason for the 17-region scheduled q1 update.,The Sumy row in the same-day 13:00–23:00 q1 schedule is additionally attack-confounded; do not interpret q1 as the only cause of power loss in Konotop.【置信度：high】,attack,coarse,other,other,secondary,3,v3.0
KE20240917_SUMY_ATTACK,2024-09-17,regional_energy_attack,critical,Sumy能源设施连续无人机/导弹攻击并造成大范围断电,multi_district_regional,Sumy Oblast|Chernihiv Oblast,ALL,large_regional_blackout,"02:26 first partial restoration; 03:11 further restoration; 281,072 consumers still off at 07:00.",,,attack onset bounded; restoration transitions exact; 07:00 residual state exact,regional,"Partial restoration already occurred at 02:26 and 03:11; 07:00/04:00 UTC is a residual outage snapshot, not outage onset. Separate 18-Sep attacks must not be merged into one continuous interval.",high,Reuters + Ukraine Energy Ministry,https://www.reuters.com/world/europe/russia-attacks-energy-infrastructure-ukraines-sumy-region-local-authorities-say-2024-09-17/,Use region-specific exclusion rather than dropping all national q0 observations.,"Partial restoration already occurred at 02:26 and 03:11; 07:00/04:00 UTC is a residual outage snapshot, not outage onset. Separate 18-Sep attacks must not be merged into one continuous interval.【置信度：high】",attack,mixed_exact,government,other,secondary,3,v3.0
