intel_id,date,finding,primary_source,corroboration,source_diversity,assessment,confidence,handling
MI20240604_KH_AFTERNOON,2024-06-04,Kharkiv 14:21 GAV → 14:49 SGAV → 15:30 cancellation.,Ukrenergo operational recap,Ukrinform / Suspilne dated recaps,TSO + public news agency + public broadcaster,"Consistent sequence; minute times originate from the TSO recap, corroborators reproduce the same chronology.",high,Store as exact_effective public dispatch actions; still below telemetry/SCADA ground truth.
MI20240604_KH_SUMY_EVENING,2024-06-04→05,Sumy 21:15 and Kharkiv 21:27 emergency activation; both cancelled at 00:57.,Ukrenergo operational recap,Ukrinform / Suspilne,TSO + two independent dated media,Cross-midnight chain is internally consistent. Cancellation belongs to 5-Jun local action date but to the 4-Jun emergency episode.,high,Execution event_date follows local action date; key_event_id preserves episode linkage.
MI20240605_OD_SUMY_KH,2024-06-05,20:40 multi-region GAV; Odesa cancelled 21:35; Sumy/Kharkiv cancelled 23:40.,Ukrenergo operational recap,None required for timing; source is official TSO and region-specific.,TSO primary,Strong official operational evidence and exact regional release times.,high,Use as execution overrides of the coarse planned schedule.
MI_VERSION_CONTROL,2026-09-04,v2.6 analysis existed without a separately materialized artifact.,Conversation/workflow audit,v2.5 artifact + subsequent audit findings,workflow provenance,"Version-number drift was procedural, not a data claim.",high,v2.7 is the first artifact that formally incorporates both post-v2.5 audit rounds; future material changes increment version immediately.
MI20240829_DN_EMERGENCY,2024-08-29→30,DTEK official channel confirms Dnipropetrovsk emergency state at 11:56; dated local DSO recap places cancellation at 03:00 next day.,DTEK official Telegram,Sobitie dated local recap quoting DTEK,official DSO group + dated local DSO reporting,"High confidence that the national GPV plan was overridden; exact activation remains censored, while the 03:00 cancellation needs primary-source confirmation.",high,Store 11:56 as reported_at; store 03:00 as secondary_exact_report with publication_eligible=0.
MI20240830_OD_DN_OVERRIDE,2024-08-30,"By roughly 10:25–10:35, Odesa and Dnipropetrovsk were under emergency outages and ordinary schedules did not apply; CEK also reported emergency schedules.",DTEK statements,Odesa Novyny.live + Dnipro Informator + national dated media,DSO + two independent regional media ecosystems,Strong evidence for regional emergency override of the national 09:00–14:00 one-queue plan.,high,Overlay regional state on the national schedule; do not infer exact start from publication time.
MI20240829_30_KH_RECOVERY,2024-08-29→30,"Kharkiv shelling-related physical outage persisted into 30 Aug: >72,000 customers restored, but 38.8k still without voltage in the morning.",Ukraine Ministry of Energy status,Objective dated 11:52 report; prior Kharkivoblenergo outage confirmation,ministry + regional media + DSO context,"This is recovery progress, not a schedule cancellation. It proves that physical restoration can extend beyond plan boundaries.",high,Model physical recovery separately from GAV/GPV control-state changes.
MI20241117_20_OD_RECOVERY,2024-11-17→20,"Odesa moved through emergency state, large-scale physical restoration, and later return to stabilization schedules over several days rather than one clean blackout interval.",DTEK / DTEK Odesa statements,Novyny.live + Interfax + existing 18-Nov/20-Nov records,DSO + wire service + regional dated reporting,"17-Nov emergency start, 18-Nov large residual outage, 19-Nov 714k restored while emergency remained, and 20-Nov operational-regime return are distinct state transitions.",high,Use a recovery episode/state machine; do not collapse all stages into one outage_start/outage_end pair.
MI20241228_DN_MULTI_DSO,2024-12-28,PEEM CEK officially scheduled subqueue 6.2 for 15:00–17:00 while DTEK-side evidence records a Dnipropetrovsk emergency state the same afternoon.,PEEM CEK official Telegram,Existing DTEK/Dnipropetrovsk emergency execution record,two distinct DSO execution domains in one oblast,Admin1-level labeling without operator/service-area can mix incompatible plan and execution states.,high,Add operator_service_area to exposure key and keep CEK/DTEK records separate.
MI20260904_CODE_LABEL_PATH,2026-09-04,"Repository code audit shows the oblast execution registry is configured and loadable, but the inspected Experiment A label path uses the national planned schedule to generate positive cycles.",GitHub repository code,experiment_v2.yaml + config.py + events.py + exp_a_calibration.py,configuration + loader + label-construction call path,New minute-level execution evidence will not automatically improve experimental labels unless an execution-overlay layer is added.,high,"Treat this as a pipeline defect/design gap, not merely a data gap."
MI20240724_TARGET_CANCEL,2024-07-24,Four target oblasts have same-day cancellation/early-restoration evidence; the old national q0 00:00–16:00 representation is over-broad.,Ukrenergo regional cancellation list,Sumyoblenergo local update; Kharkivoblenergo early-return statement; DTEK Odesa 08:25–18:00 statement,TSO + three target-oblast DSO ecosystems + public broadcaster/local media,"High-confidence regional override. Odesa has a real 5-minute source discrepancy (08:20 TSO group vs 08:25 DSO), which should be preserved rather than harmonized away.",high,Exclude coarse national q0 row from analysis and use region/operator-specific zero windows.
MI20240917_18_SUMY_EPISODES,2024-09-17→18,17-Sep already has exact partial restoration at 02:26/03:11 and a 07:00 residual-outage count; 18-Sep contains new attacks and a new 22:03 critical-infrastructure outage.,Sumyoblenergo via Sumy OVA,Suspilne Sumy + municipal water utility + dated local reporting,DSO + OVA + public broadcaster + municipal utility,"The repository's 04:00 UTC Sumy point is a residual-state snapshot, not outage onset; a continuous 17–18 Sep outage interval is structurally wrong.",high,Split event family into attack/recovery transitions and a separate 18-Sep reattack.
MI20241022_SUMY_TWO_WAVES,2024-10-22,"Sumy had a morning GAV escalation, exact 16:00 return to GPV and reconnection of all then-GAV-disconnected consumers, followed by a second GAV at 18:57.",Sumyoblenergo statements,Suspilne Sumy Telegram + Sumy Debaty,DSO + public broadcaster + dated local media,The previous registry only captured the 18:57 wave and therefore missed a complete earlier emergency episode.,high,Model two separate episodes; keep only the second-wave cancellation gap open.
MI20241121_REENTRY,2024-11-21,Post-17-Nov recovery was interrupted by a new emergency episode. Sumy has exact 06:54 GAV → 07:08 SGAV → 07:42 cancellation; Odesa/Dnipro are publicly active by 07:51 and cancelled by 07:56.,Sumyoblenergo + DTEK,Ukrainska Pravda + Radio Svoboda,DSO + TSO + national media,"Recovery is non-monotonic. In addition, Sumy GPV later diverges from national queue intensity (2→3→2 vs national 1→2→1).",high,Add emergency re-entry state and regional Sumy schedule overrides.
MI20260904_PUBLIC_TIME_SEMANTICS,2026-09-04,Minute-resolved publication/index timestamps from web/Telegram mirrors cannot be assumed to equal action times or to use one stable display timezone.,Cross-source timestamp reconciliation,Explicit body times from Sumyoblenergo and dated local/national publications,Telegram mirrors + DSO message bodies + media timestamps,The safe rule is semantic rather than arithmetic: only body-stated action times enter effective_time; otherwise keep reported_at/cancelled_by bounds.,high,Do not infer effective switching time by adding/subtracting timezone offsets from an index timestamp.
