manuscript_name,value,value_scale,analysis_sample,source_file,source_column_or_rule,generating_script,code_git_commit,source_sha256,source_content_digest,note
Analyzed IPs,1170227.0,count,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/data/ip_power_availability_master.parquet,row count,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,07733b14aab577135018be2f55b120c989c3db6d8d9f2049bc6d3719a28955c3,,
Analyzed oblasts,17.0,count,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/data/ip_power_availability_master.parquet,uniqExact(oblast),/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,07733b14aab577135018be2f55b120c989c3db6d8d9f2049bc6d3719a28955c3,,
Power valid probe opportunities,46294676.0,count,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/data/ip_power_availability_master.parquet,sum(power_valid_probe_count),/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,07733b14aab577135018be2f55b120c989c3db6d8d9f2049bc6d3719a28955c3,,
Normal valid probe opportunities,185178704.0,count,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/data/ip_power_availability_master.parquet,sum(normal_valid_probe_count),/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,07733b14aab577135018be2f55b120c989c3db6d8d9f2049bc6d3719a28955c3,,
ITDK 2024-08 transit-evidence positives,3958.0,count,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/data/ip_power_availability_master.parquet,sum(itdk_202408_T),/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,07733b14aab577135018be2f55b120c989c3db6d8d9f2049bc6d3719a28955c3,,
ITDK 2024-08 transit-evidence prevalence,0.0033822497686346324,proportion,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/data/ip_power_availability_master.parquet,mean(itdk_202408_T),/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,07733b14aab577135018be2f55b120c989c3db6d8d9f2049bc6d3719a28955c3,,
Verified schedule event IDs in eligible schedule universe,67.0,count,Eligible schedule registry,/home/wsl/XiaoLunWen_doc_complete_20260908/config/planned_outage_schedule_v4_0.csv,nunique(event_id) after four row-level flags,/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,5714674b8035a85c7c06b7e8f2227a43fadd0a53179072fcdf3efae27ca42f7e,,
Power analysis event-oblast opportunities,119.0,count,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/runs/doc_complete_20260908/data_derived/ip_event_sensitivity.parquet,canonical temporal-overlap crosswalk rows,/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,bc1134b8b9290a96bd1bda64b573a447c98df1e33e99382bf9c39cb85ad33159,,
Power ROC-AUC,0.8736917682031422,ROC-AUC,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F07_final_auc.csv,"scope=NATIONWIDE, score=power_availability, AUC",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,08809af82d48f9a19d32dd6622f744692260a9dc852f1e054ef67cbd1aef0981,,"95% CI [0.8643868865683791, 0.8824408575079631]"
Power Average Precision,0.0191182419427553,average_precision,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F07_final_auc.csv,"scope=NATIONWIDE, score=power_availability, average_precision",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,08809af82d48f9a19d32dd6622f744692260a9dc852f1e054ef67cbd1aef0981,,
Normal ROC-AUC,0.8688668771236475,ROC-AUC,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F07_final_auc.csv,"scope=NATIONWIDE, score=normal_availability, AUC",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,08809af82d48f9a19d32dd6622f744692260a9dc852f1e054ef67cbd1aef0981,,"95% CI [0.8592262924188752, 0.8780420697901596]"
Normal Average Precision,0.0199215502685467,average_precision,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F07_final_auc.csv,"scope=NATIONWIDE, score=normal_availability, average_precision",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,08809af82d48f9a19d32dd6622f744692260a9dc852f1e054ef67cbd1aef0981,,
Primary GEE coefficient,3.160034001062481,log-odds,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/tables/TABLE_04_primary_regression.csv,estimate_log_odds_per_unit,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,e619c5d95180ac270312ef1304d2bdf4f86fd25a68802d5c38248e4380adfc35,,
Primary GEE odds ratio,23.571397367997832,odds_ratio,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/tables/TABLE_04_primary_regression.csv,odds_ratio_per_unit,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_v1/scripts/power_availability_infrastructure_v1.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,e619c5d95180ac270312ef1304d2bdf4f86fd25a68802d5c38248e4380adfc35,,"OR-scale 95% CI [19.332289897313395, 28.7400394278832]"
ITDK 2024-02 Power ROC-AUC,0.8501309186504,ROC-AUC,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F10_itdk_release_final.csv,"release=2024-02, AUC_power",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,8371f36dc85ed0ce7c12adcf4c40b0b08fa3f988d50f9d3462fbf31e7ffa8a0a,,"/24 cluster bootstrap CI [0.8417242479822515, 0.859081560981724]"
ITDK 2024-08 Power ROC-AUC,0.8736917682031422,ROC-AUC,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F10_itdk_release_final.csv,"release=2024-08, AUC_power",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,8371f36dc85ed0ce7c12adcf4c40b0b08fa3f988d50f9d3462fbf31e7ffa8a0a,,"/24 cluster bootstrap CI [0.8652321230051087, 0.8812684535666423]"
ITDK 2025-03 Power ROC-AUC,0.8746025084653242,ROC-AUC,Frozen mapped Power master with positive power-opportunity denominator,/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/tables/TABLE_F10_itdk_release_final.csv,"release=2025-03, AUC_power",/home/wsl/XiaoLunWen_doc_complete_20260908/power_availability_infrastructure_final_validation_v2/scripts/final_validation_v2.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,8371f36dc85ed0ce7c12adcf4c40b0b08fa3f988d50f9d3462fbf31e7ffa8a0a,,"/24 cluster bootstrap CI [0.8661077546534851, 0.8813615702201412]"
Measured traceroute rows,774675284,count,Authoritative normalized AWS Frankfurt quarter-traceroute measurement table,ClickHouse active_measurement.UKRAINE__quarter-traceroute_AWS_frankfurt_2024-06-22,count(),/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,,measurement_hash_xor=2270726256262939740;measurement_hash_sum=2104529659811978964,"Read-only server-side ClickHouse scan; measured data, not sampler output"
Measured traceroute cycles,4540,count,Authoritative normalized AWS Frankfurt quarter-traceroute measurement table,ClickHouse active_measurement.UKRAINE__quarter-traceroute_AWS_frankfurt_2024-06-22,uniqExact(cycle_id),/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,,measurement_hash_xor=2270726256262939740;measurement_hash_sum=2104529659811978964,"Read-only server-side ClickHouse scan; measured data, not sampler output"
Traceroute rows reaching target,107667218,count,Authoritative normalized AWS Frankfurt quarter-traceroute measurement table,ClickHouse active_measurement.UKRAINE__quarter-traceroute_AWS_frankfurt_2024-06-22,sum(reached_target),/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,,measurement_hash_xor=2270726256262939740;measurement_hash_sum=2104529659811978964,"Read-only server-side ClickHouse scan; measured data, not sampler output"
Traceroute minimum measurement time UTC,2024-06-22 08:28:49.000000,UTC timestamp,Authoritative normalized AWS Frankfurt quarter-traceroute measurement table,ClickHouse active_measurement.UKRAINE__quarter-traceroute_AWS_frankfurt_2024-06-22,min(measure_time),/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,,measurement_hash_xor=2270726256262939740;measurement_hash_sum=2104529659811978964,"Read-only server-side ClickHouse scan; measured data, not sampler output"
Traceroute maximum measurement time UTC,2025-01-09 14:54:10.000000,UTC timestamp,Authoritative normalized AWS Frankfurt quarter-traceroute measurement table,ClickHouse active_measurement.UKRAINE__quarter-traceroute_AWS_frankfurt_2024-06-22,max(measure_time),/home/wsl/Ukraine_method_lineage_20260925/scripts/build_manuscript_lineage.py,8c2f0bb5805dc370c4c52249184ff85b04845e0b,,measurement_hash_xor=2270726256262939740;measurement_hash_sum=2104529659811978964,"Read-only server-side ClickHouse scan; measured data, not sampler output"
